Wall time,Step,Value
1587468725.521224,3643,47.0
1587468738.595052,3644,36.0
1587468746.805771,3645,21.0
1587468762.500161,3646,48.0
1587468778.382387,3647,40.0
1587468792.57882,3648,42.0
1587468801.785986,3649,23.0
1587468813.784922,3650,34.0
1587468827.118509,3651,37.0
1587468844.56062,3652,46.0
1587468860.85509,3653,44.0
1587468868.265964,3654,19.0
1587468880.378802,3655,31.0
1587468895.153942,3656,41.0
1587468908.934974,3657,35.0
1587468923.77825,3658,40.0
1587468939.276964,3659,44.0
1587468950.502458,3660,31.0
1587468964.512727,3661,43.0
1587468974.10798,3662,25.0
1587468986.077866,3663,31.0
1587468996.665492,3664,27.0
1587469012.748567,3665,44.0
1587469026.637884,3666,43.0
1587469039.625623,3667,36.0
1587469056.000169,3668,46.0
1587469069.586294,3669,37.0
1587469081.940714,3670,33.0
1587469096.028078,3671,40.0
1587469114.907538,3672,54.0
1587469121.285131,3673,15.0
1587469136.219788,3674,41.0
1587469151.011267,3675,45.0
1587469162.022776,3676,28.0
1587469172.885331,3677,30.0
1587469188.077713,3678,43.0
1587469204.49524,3679,42.0
1587469215.890751,3680,29.0
1587469230.311038,3681,39.0
1587469238.329769,3682,20.0
1587469248.87236,3683,29.0
1587469263.865613,3684,38.0
1587469276.727566,3685,36.0
1587469291.805682,3686,46.0
1587469304.921163,3687,37.0
1587469322.039683,3688,48.0
1587469335.709467,3689,40.0
1587469351.541919,3690,42.0
1587469363.85683,3691,33.0
1587469374.310628,3692,25.0
1587469386.664016,3693,32.0
1587469396.378849,3694,26.0
1587469411.337708,3695,43.0
1587469427.135444,3696,42.0
1587469436.55561,3697,24.0
1587469451.894901,3698,48.0
1587469464.5012,3699,36.0
1587469474.877685,3700,29.0
1587469485.763363,3701,31.0
1587469498.858388,3702,36.0
1587469512.54987,3703,38.0
1587469526.837179,3704,43.0
1587469537.935064,3705,31.0
1587469550.73256,3706,41.0
1587469564.620469,3707,42.0
1587469578.546226,3708,42.0
1587469590.864214,3709,32.0
1587469608.090555,3710,45.0
1587469619.95301,3711,33.0
1587469638.581988,3712,49.0
1587469650.477372,3713,31.0
1587469666.962594,3714,49.0
1587469681.932853,3715,40.0
1587469697.474836,3716,44.0
1587469704.699951,3717,17.0
1587469719.793516,3718,43.0
1587469730.874608,3719,32.0
1587469743.161764,3720,32.0
1587469757.634452,3721,42.0
1587469770.923718,3722,42.0
1587469785.018567,3723,42.0
1587469800.830194,3724,44.0
1587469811.979654,3725,30.0
1587469827.639375,3726,40.0
1587469841.675933,3727,37.0
1587469857.334476,3728,67.0
1587469875.162813,3729,48.0
1587469886.791145,3730,33.0
1587469895.899177,3731,23.0
1587469910.396363,3732,40.0
1587469924.072226,3733,33.0
1587469937.676811,3734,36.0
1587469947.961638,3735,29.0
1587469961.943298,3736,43.0
1587469974.333169,3737,41.0
1587469989.164725,3738,43.0
1587469996.891883,3739,21.0
1587470007.910626,3740,32.0
1587470023.166536,3741,44.0
1587470039.755392,3742,46.0
1587470052.046196,3743,34.0
1587470068.43064,3744,49.0
1587470086.742826,3745,47.0
1587470103.34075,3746,46.0
1587470117.741176,3747,43.0
1587470128.395901,3748,27.0
1587470147.485512,3749,56.0
1587470159.246062,3750,32.0
1587470169.480949,3751,26.0
1587470183.848954,3752,40.0
1587470199.600203,3753,48.0
1587470213.879606,3754,38.0
1587470222.326587,3755,24.0
1587470235.817976,3756,43.0
1587470251.712075,3757,43.0
1587470268.431206,3758,52.0
1587470279.947654,3759,31.0
1587470294.413548,3760,39.0
1587470307.771184,3761,40.0
1587470321.682892,3762,39.0
1587470336.043212,3763,42.0
1587470354.29155,3764,49.0
1587470367.852225,3765,37.0
1587470381.761525,3766,38.0
1587470395.018492,3767,38.0
1587470409.424695,3768,40.0
1587470423.243929,3769,42.0
1587470441.2035,3770,45.0
1587470454.690231,3771,38.0
1587470467.071733,3772,35.0
1587470482.249977,3773,53.0
1587470496.717552,3774,41.0
1587470512.684659,3775,49.0
1587470527.152989,3776,46.0
1587470537.948878,3777,29.0
1587470553.305549,3778,45.0
1587470568.602811,3779,43.0
1587470582.806406,3780,42.0
1587470597.193714,3781,40.0
1587470613.588584,3782,44.0
1587470628.425223,3783,48.0
1587470641.031975,3784,33.0
1587470657.293082,3785,42.0
1587470672.310456,3786,43.0
1587470685.982555,3787,37.0
1587470699.534133,3788,35.0
1587470708.498207,3789,24.0
1587470719.276716,3790,26.0
1587470736.968873,3791,51.0
1587470749.594284,3792,33.0
1587470765.136356,3793,40.0
1587470776.339299,3794,29.0
1587470789.447587,3795,42.0
1587470802.833236,3796,39.0
1587470818.801917,3797,40.0
1587470834.654971,3798,48.0
1587470850.270765,3799,41.0
1587470865.647136,3800,45.0
1587470881.410979,3801,43.0
1587470894.270441,3802,37.0
1587470908.525415,3803,55.0
1587470922.805124,3804,42.0
1587470938.323387,3805,45.0
1587470952.657891,3806,38.0
1587470964.191202,3807,33.0
1587470980.769173,3808,73.0
1587470993.891845,3809,38.0
1587471007.765131,3810,40.0
1587471023.208074,3811,41.0
1587471036.323948,3812,36.0
1587471049.553433,3813,32.0
1587471065.269404,3814,66.0
1587471082.086553,3815,44.0
1587471097.682938,3816,43.0
1587471108.466199,3817,31.0
1587471122.051258,3818,34.0
1587471135.178874,3819,36.0
1587471150.05053,3820,72.0
1587471163.948624,3821,45.0
1587471182.380743,3822,54.0
1587471195.149049,3823,40.0
1587471209.677828,3824,44.0
1587471224.799513,3825,42.0
1587471240.810664,3826,45.0
1587471257.340635,3827,58.0
1587471270.879946,3828,43.0
1587471284.065593,3829,42.0
1587471301.884533,3830,59.0
1587471317.793243,3831,51.0
1587471335.963548,3832,53.0
1587471348.430056,3833,35.0
1587471365.773858,3834,48.0
1587471377.925077,3835,37.0
1587471394.293136,3836,48.0
1587471406.103913,3837,33.0
1587471418.925509,3838,37.0
1587471433.868729,3839,44.0
1587471446.878207,3840,42.0
1587471461.56842,3841,47.0
1587471478.71252,3842,52.0
1587471491.174947,3843,36.0
1587471506.654965,3844,56.0
1587471521.307226,3845,44.0
1587471538.361756,3846,57.0
1587471554.673039,3847,63.0
1587471573.467202,3848,55.0
1587471588.220596,3849,52.0
1587471601.152935,3850,37.0
1587471616.988647,3851,55.0
1587471638.332434,3852,71.0
1587471655.415439,3853,48.0
1587471674.240086,3854,62.0
1587471690.119286,3855,51.0
1587471702.088958,3856,35.0
1587471718.968764,3857,84.0
1587471732.312499,3858,38.0
1587471747.067501,3859,44.0
1587471762.25309,3860,51.0
1587471779.715281,3861,58.0
1587471795.724852,3862,58.0
1587471811.669347,3863,50.0
1587471826.051583,3864,45.0
1587471841.401592,3865,43.0
1587471857.0064,3866,50.0
1587471872.334431,3867,48.0
1587471887.326703,3868,48.0
1587471902.825085,3869,45.0
1587471917.803621,3870,51.0
1587471930.291178,3871,40.0
1587471944.91283,3872,42.0
1587471961.48695,3873,61.0
1587471977.895012,3874,51.0
1587471992.655953,3875,46.0
1587472009.298705,3876,49.0
1587472019.180102,3877,28.0
1587472032.144107,3878,33.0
1587472048.309081,3879,51.0
1587472066.069758,3880,52.0
1587472084.381958,3881,51.0
1587472100.54403,3882,50.0
1587472118.029136,3883,86.0
1587472135.580758,3884,52.0
1587472150.150504,3885,43.0
1587472166.965676,3886,49.0
1587472179.809568,3887,35.0
1587472192.760142,3888,42.0
1587472203.828487,3889,42.0
1587472219.805732,3890,61.0
1587472235.93028,3891,45.0
1587472252.04289,3892,49.0
1587472266.480038,3893,44.0
1587472283.184194,3894,54.0
1587472298.941276,3895,46.0
1587472313.914513,3896,45.0
1587472321.979436,3897,22.0
1587472336.186993,3898,43.0
1587472350.406296,3899,45.0
1587472367.617245,3900,61.0
1587472381.207005,3901,44.0
1587472397.16332,3902,57.0
1587472409.798115,3903,53.0
1587472428.046708,3904,76.0
1587472450.42931,3905,87.0
1587472460.237422,3906,26.0
1587472473.572429,3907,44.0
1587472488.32912,3908,48.0
1587472504.421647,3909,70.0
1587472517.79759,3910,36.0
1587472528.663581,3911,30.0
1587472547.202744,3912,61.0
1587472561.932765,3913,38.0
1587472576.157918,3914,46.0
1587472594.842975,3915,54.0
1587472607.656211,3916,41.0
1587472624.582457,3917,60.0
1587472644.64505,3918,78.0
1587472660.012873,3919,43.0
1587472679.380141,3920,64.0
1587472693.685842,3921,38.0
1587472708.73998,3922,40.0
1587472726.360939,3923,55.0
1587472741.905526,3924,56.0
1587472760.875165,3925,57.0
1587472776.590519,3926,46.0
1587472794.535567,3927,64.0
1587472806.784339,3928,31.0
1587472820.415176,3929,45.0
1587472836.995376,3930,54.0
1587472853.105234,3931,46.0
1587472867.175437,3932,48.0
1587472885.819269,3933,59.0
1587472900.400756,3934,47.0
1587472918.811343,3935,71.0
1587472938.650089,3936,72.0
1587472952.607724,3937,48.0
1587472969.175182,3938,48.0
1587472985.81731,3939,50.0
1587472999.576068,3940,43.0
1587473013.424639,3941,43.0
1587473031.484158,3942,68.0
1587473048.748545,3943,62.0
1587473065.585051,3944,62.0
1587473075.360742,3945,28.0
1587473092.867644,3946,75.0
1587473107.205165,3947,47.0
1587473121.133654,3948,47.0
1587473137.272894,3949,48.0
1587473153.673269,3950,52.0
1587473166.607701,3951,39.0
1587473181.219579,3952,50.0
1587473194.433493,3953,64.0
1587473211.497815,3954,58.0
1587473222.35427,3955,33.0
1587473236.929183,3956,40.0
1587473252.337722,3957,48.0
1587473267.753858,3958,47.0
1587473286.263182,3959,54.0
1587473300.642567,3960,48.0
1587473315.0273,3961,45.0
1587473327.252157,3962,66.0
1587473341.571557,3963,49.0
1587473355.180525,3964,44.0
1587473372.015243,3965,68.0
1587473388.124637,3966,51.0
1587473403.811617,3967,54.0
1587473419.844239,3968,48.0
1587473436.124854,3969,49.0
1587473448.617728,3970,60.0
1587473461.77177,3971,39.0
1587473478.527699,3972,80.0
1587473496.80475,3973,78.0
1587473513.045072,3974,54.0
1587473530.595562,3975,55.0
1587473548.359125,3976,81.0
1587473566.767162,3977,53.0
1587473579.212208,3978,41.0
1587473593.999976,3979,51.0
1587473610.26658,3980,51.0
1587473624.552515,3981,43.0
1587473641.123693,3982,54.0
1587473653.492824,3983,66.0
1587473673.026703,3984,81.0
1587473689.807193,3985,59.0
1587473706.485511,3986,77.0
1587473722.005041,3987,78.0
1587473738.872186,3988,68.0
1587473753.61709,3989,46.0
1587473768.157345,3990,45.0
1587473786.27398,3991,62.0
1587473803.464393,3992,60.0
1587473821.064057,3993,46.0
1587473833.250796,3994,37.0
1587473850.847421,3995,51.0
1587473861.824258,3996,35.0
1587473878.069117,3997,75.0
1587473895.982713,3998,72.0
1587473908.647182,3999,41.0
1587473925.372523,4000,62.0
1587473943.291035,4001,57.0
1587473959.586153,4002,48.0
1587473977.846742,4003,56.0
1587473990.646401,4004,49.0
1587474011.654014,4005,84.0
1587474028.940151,4006,55.0
1587474047.862324,4007,62.0
1587474068.954684,4008,77.0
1587474083.286853,4009,53.0
1587474100.762235,4010,65.0
1587474115.262085,4011,60.0
1587474134.755297,4012,62.0
1587474153.222707,4013,71.0
1587474168.858282,4014,50.0
